country,year,series,value
Afghanistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Afghanistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),5.82
Afghanistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.41
Afghanistan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),46.41
Albania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.36
Albania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.33
Albania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),48.65
Albania,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),48.65
Algeria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.59
Algeria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.59
Algeria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.49
Algeria,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),43.49
Andorra,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.25
Andorra,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.25
Andorra,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.2
Andorra,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),26.2
Angola,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.01
Angola,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),27.01
Angola,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),31.34
Angola,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),31.34
Antigua & Barbuda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),8.69
Antigua & Barbuda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),8.69
Antigua & Barbuda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),14.01
Antigua & Barbuda,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),14.01
Argentina,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.8
Argentina,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.89
Argentina,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),32.11
Argentina,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),32.32
Armenia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.02
Armenia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.55
Armenia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),22.57
Armenia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),22.57
Australia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),37.53
Australia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.6
Australia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),57.31
